01-reset-CTR_bird_of_paradise_flower&Image00011(0.44_0.44_0.46),,,,,,,
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
4021248,0,0,0,0,1444,63247,778639
4021248,1,0,0,0,0,10376,11788
4021248,2,0,0,0,0,9934,9130
4021248,3,0,0,0,1,9685,9004
4021248,4,0,0,0,4,10709,13893
4021248,5,0,0,0,18,8336,11103
4021248,6,0,0,0,78,8948,10609
4021248,7,0,0,0,161,12594,8948
4021248,8,0,0,0,198,8940,14284
4021248,9,0,0,0,301,5872,10238
4021248,10,0,0,0,381,8897,10460
4021248,11,0,0,0,525,14702,9460
4021248,12,0,0,0,612,10576,15493
4021248,13,0,0,0,749,15242,12287
4021248,14,0,0,0,915,15265,15336
4021248,15,0,0,0,1305,11136,10982
4021248,16,0,0,0,2304,15457,14255
4021248,17,0,0,0,3177,16513,13620
4021248,18,0,0,0,4392,19442,13768
4021248,19,0,0,0,5463,16801,14610
4021248,20,0,0,0,6607,16346,14897
4021248,21,0,0,0,7694,14983,14225
4021248,22,0,0,0,9815,20335,14166
4021248,23,0,0,0,12493,15409,15338
4021248,24,0,0,0,16224,18464,15617
4021248,25,0,0,0,18033,20104,16710
4021248,26,0,0,0,19339,15174,15562
4021248,27,0,0,0,21251,16474,17606
4021248,28,0,0,0,26070,21056,17202
4021248,29,0,0,0,30063,17087,17139
4021248,30,0,0,0,33309,18654,18042
4021248,31,0,0,0,33561,20238,17201
4021248,32,0,0,0,30528,17932,16927
4021248,33,0,0,0,28322,22052,17010
4021248,34,0,0,0,29239,19131,16790
4021248,35,0,0,0,30707,20684,16437
4021248,36,0,0,0,31402,18584,17043
4021248,37,0,0,0,29694,18837,16637
4021248,38,0,0,0,29786,17881,16524
4021248,39,0,0,0,29898,18106,16856
4021248,40,0,0,0,26764,19096,16710
4021248,41,0,0,0,25348,13487,16063
4021248,42,0,0,0,26812,15446,15334
4021248,43,0,0,0,26710,16789,15441
4021248,44,0,0,0,27250,16148,15036
4021248,45,0,0,0,29613,13927,14405
4021248,46,0,0,246,32287,11924,15083
4021248,47,0,0,311,27665,19983,14637
4021248,48,0,0,287,25602,12681,14550
4021248,49,0,0,415,23584,15131,14344
4021248,50,0,0,1003,22334,16029,14610
4021248,51,0,0,1221,21553,14103,14343
4021248,52,0,0,1364,21866,15972,13964
4021248,53,0,0,2645,22006,16707,15135
4021248,54,0,0,2893,22211,14934,14407
4021248,55,0,0,3788,22686,18752,14712
4021248,56,0,0,2618,22465,14575,14507
4021248,57,0,0,5009,22563,17156,15929
4021248,58,0,0,4651,22703,17531,14522
4021248,59,0,0,5884,23046,16769,14997
4021248,60,0,0,7087,22207,18899,16350
4021248,61,0,0,9409,22541,15362,14782
4021248,62,0,0,11355,23811,19582,15688
4021248,63,68,0,16332,20897,14323,14485
4021248,64,105,0,14474,22202,21606,15232
4021248,65,113,0,24342,22305,15115,16778
4021248,66,97,159,17114,20414,16934,15425
4021248,67,86,108,19333,21010,18467,15816
4021248,68,112,152,18716,19459,15078,15841
4021248,69,122,141,19782,19677,18504,17490
4021248,70,113,183,26714,18624,17698,16863
4021248,71,118,174,16457,18006,16320,18920
4021248,72,116,209,22017,18377,17161,17536
4021248,73,103,215,24774,17081,17318,18146
4021248,74,95,148,15764,17907,17803,19137
4021248,75,122,104,17920,16281,17907,20437
4021248,76,124,76,25678,17981,18476,23725
4021248,77,96,66,20280,16188,18708,21941
4021248,78,109,88,25222,16553,17505,22940
4021248,79,141,163,16173,16340,17739,22404
4021248,80,147,322,19803,16331,19066,20412
4021248,81,130,628,15644,15650,17887,20361
4021248,82,127,1381,22339,16795,15391,18517
4021248,83,167,1418,25261,15832,17499,18100
4021248,84,131,1907,22193,15441,18191,16076
4021248,85,121,3345,14371,16353,16750,14865
4021248,86,131,3072,19470,15347,15820,14511
4021248,87,164,4274,13388,16271,18576,13582
4021248,88,134,3844,18730,15787,17541,12926
4021248,89,167,5062,16628,15440,15239,12737
4021248,90,221,5569,18811,16799,18323,12836
4021248,91,179,4708,17986,15737,19089,12617
4021248,92,249,6464,23973,14525,15598,13346
4021248,93,296,6995,17416,14920,17996,12662
4021248,94,358,7180,18044,15600,18778,13716
4021248,95,469,7325,17266,15442,17421,13450
4021248,96,689,8044,43738,15776,16812,14316
4021248,97,594,6952,16538,15301,17963,16582
4021248,98,694,7097,20058,15008,15744,16982
4021248,99,916,7805,23482,14273,17430,13447
4021248,100,822,11682,16169,15272,16553,15861
4021248,101,1417,9159,16160,14721,17673,13447
4021248,102,1573,9230,24182,14224,16047,13732
4021248,103,2881,13603,10455,14492,16289,14137
4021248,104,4113,9904,12354,14510,17465,13074
4021248,105,5024,9959,15609,14714,14881,15532
4021248,106,6254,14708,19166,15362,18875,14137
4021248,107,7090,10872,21736,14993,13676,13615
4021248,108,7806,15067,15362,15284,18499,12552
4021248,109,8173,14691,56337,15224,15520,12200
4021248,110,9309,11156,23158,15721,18512,12388
4021248,111,7563,13965,17341,15334,16604,12733
4021248,112,8092,13655,17182,15586,15626,11873
4021248,113,7672,14166,26267,15283,15539,13041
4021248,114,6740,13069,18329,15253,17672,12276
4021248,115,9187,14595,20566,15002,17612,12687
4021248,116,8673,12534,19354,15445,14317,13391
4021248,117,9151,12919,28449,15016,15992,12340
4021248,118,9962,11747,22667,15443,16043,16007
4021248,119,10387,12861,32198,15180,16786,14081
4021248,120,10686,13196,52775,15409,13563,14064
4021248,121,15418,14973,21469,15210,17231,13858
4021248,122,12719,12840,35728,15038,14351,15265
