04-HE-snow,,,,,,,
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
201502,0,0,0,312,1,1843,11725
201502,1,0,0,70,6,215,114
201502,2,0,0,111,3,801,502
201502,3,0,0,139,15,886,1164
201502,4,0,0,208,35,256,1024
201502,5,0,0,297,39,620,202
201502,6,0,0,526,70,935,339
201502,7,0,7,814,46,41,552
201502,8,0,4,1200,61,1045,1627
201502,9,0,9,1293,94,116,345
201502,10,0,27,1464,137,1239,467
201502,11,0,46,1831,181,70,619
201502,12,3,100,2493,190,629,1430
201502,13,1,168,3052,360,811,507
201502,14,3,302,3703,574,571,529
201502,15,8,484,3690,20,257,1570
201502,16,24,706,3254,887,1450,844
201502,17,34,996,2864,909,698,674
201502,18,40,916,2603,36,315,1561
201502,19,76,890,2335,853,1559,331
201502,20,93,968,2205,936,796,2008
201502,21,141,1120,2154,249,1071,581
201502,22,167,1457,2097,901,1034,1403
201502,23,275,1971,2209,1242,776,646
201502,24,386,2444,2705,624,934,1236
201502,25,578,2644,3963,1317,1504,792
201502,26,893,2896,6211,1214,801,840
201502,27,914,2783,8720,314,1412,751
201502,28,884,2568,9386,1697,741,681
201502,29,938,2232,8891,632,1112,409
201502,30,1140,2171,8927,1776,1045,1151
201502,31,1341,1955,9817,454,1025,856
201502,32,1885,1941,10961,1589,1111,858
201502,33,2076,2058,11139,963,869,872
201502,34,2238,2310,10019,501,1090,720
201502,35,2165,2876,9327,1629,783,648
201502,36,2300,4168,8315,416,1097,1674
201502,37,2100,5156,7605,1325,798,732
201502,38,1912,6230,6946,736,1036,830
201502,39,1816,6339,5527,802,1115,597
201502,40,1745,6058,4561,1064,936,537
201502,41,1821,6645,3323,366,728,1996
201502,42,1873,7843,2794,1527,625,592
201502,43,1907,5949,2286,451,1359,1361
201502,44,2190,5433,1781,1410,838,820
201502,45,2676,4677,1568,504,704,459
201502,46,3607,4262,1313,1315,218,72
201502,47,4508,3426,1143,589,2064,654
201502,48,5478,2744,896,1088,866,2436
201502,49,5885,2641,840,740,377,1065
201502,50,6223,2725,746,997,792,1489
201502,51,7773,2909,695,949,197,823
201502,52,7240,2665,626,607,2423,527
201502,53,6109,2821,633,1171,621,145
201502,54,5724,2963,628,1261,1117,956
201502,55,3826,2882,614,119,136,1947
201502,56,3022,2865,617,863,1173,872
201502,57,2637,2899,632,1916,73,128
201502,58,2754,2842,615,779,140,2295
201502,59,2046,2677,559,402,2915,472
201502,60,1343,2528,448,821,784,554
201502,61,987,2418,313,206,960,1860
201502,62,869,2208,271,821,26,205
201502,63,939,1967,219,2389,1518,726
201502,64,940,1918,217,452,332,131
201502,65,943,1852,170,220,188,1559
201502,66,1027,1934,163,642,2407,1089
201502,67,1185,1899,123,1022,1105,1241
201502,68,1372,2098,119,745,401,604
201502,69,1413,2267,106,273,568,896
201502,70,1492,2447,89,2904,161,416
201502,71,1603,2250,90,384,1792,732
201502,72,1752,2280,84,243,1402,222
201502,73,1771,2316,74,561,770,1545
201502,74,1784,2140,65,1690,1030,1160
201502,75,1769,1896,79,632,267,1307
201502,76,1769,1742,71,202,1018,548
201502,77,1723,1665,74,2080,13,1304
201502,78,1721,1533,69,307,1581,142
201502,79,1729,1637,59,587,493,649
201502,80,1658,1254,48,481,1445,1196
201502,81,1693,1098,32,1200,1034,202
201502,82,1771,1051,45,1530,762,1890
201502,83,1768,885,46,318,190,736
201502,84,1783,833,37,1347,710,1062
201502,85,1731,817,43,177,1119,844
201502,86,1683,718,36,201,35,404
201502,87,1682,717,42,1798,1584,742
201502,88,1716,645,42,753,850,1201
201502,89,1655,562,43,492,1435,1246
201502,90,1532,535,28,1687,1012,1030
201502,91,1418,481,36,1017,817,1142
201502,92,1323,541,45,536,310,884
201502,93,1283,501,22,43,518,319
201502,94,1197,484,31,258,815,1950
201502,95,1211,435,28,1745,1301,1574
201502,96,1078,405,24,1551,1089,597
201502,97,976,465,36,58,649,1018
201502,98,1087,414,27,917,1088,445
201502,99,1243,442,32,1623,331,1900
201502,100,1189,432,24,843,866,952
201502,101,1288,449,20,576,707,944
201502,102,1278,471,15,249,1164,1341
201502,103,1353,492,23,141,766,1247
201502,104,1310,471,18,710,1332,655
201502,105,1196,386,26,2185,328,1580
201502,106,1242,282,16,61,367,705
201502,107,1146,247,26,1857,1221,1406
201502,108,1174,216,20,620,652,1262
201502,109,1135,201,22,826,1187,741
201502,110,1051,216,15,30,1035,1777
201502,111,1155,178,15,68,510,1337
201502,112,1122,174,20,2122,835,1135
201502,113,991,131,9,359,654,1463
201502,114,828,112,17,804,957,885
201502,115,739,105,16,1247,1257,1219
201502,116,718,125,13,980,283,1541
201502,117,693,107,8,40,1076,1106
201502,118,657,107,12,1204,1016,1084
201502,119,665,97,10,1189,890,1126
201502,120,570,106,7,745,754,1091
201502,121,543,79,16,539,1128,905
201502,122,549,72,10,245,806,565
201502,123,549,78,17,387,686,1903
201502,124,525,56,13,1019,1192,810
201502,125,510,77,9,1489,607,588
201502,126,485,73,16,385,932,1908
201502,127,437,75,13,209,926,587
201502,128,436,62,6,504,945,619
201502,129,465,51,7,1001,925,1274
201502,130,404,55,15,1455,698,1274
201502,131,400,48,11,176,1016,620
201502,132,454,61,13,772,666,898
201502,133,434,45,13,785,940,1723
201502,134,410,40,11,877,862,686
201502,135,392,50,7,465,665,639
201502,136,375,50,9,617,938,1837
201502,137,297,27,7,729,758,652
201502,138,289,47,10,406,673,626
201502,139,265,49,7,372,915,2027
201502,140,301,47,7,370,577,680
201502,141,244,42,15,497,897,472
201502,142,236,38,14,378,929,1816
201502,143,278,44,15,527,908,944
201502,144,244,31,14,427,707,1743
201502,145,260,32,12,437,831,792
201502,146,272,18,10,362,472,1263
201502,147,287,25,11,730,1143,888
201502,148,243,39,14,620,689,1277
201502,149,264,27,18,368,638,1204
201502,150,286,32,17,436,1179,854
201502,151,283,35,9,753,718,1488
201502,152,324,35,9,615,628,1034
201502,153,306,38,8,669,900,1157
201502,154,370,17,13,519,817,1282
201502,155,380,27,6,656,716,928
201502,156,366,18,9,343,842,896
201502,157,358,18,13,842,421,1578
201502,158,360,30,10,753,1086,1186
201502,159,303,20,8,231,937,1002
201502,160,179,14,13,1176,531,1439
201502,161,218,24,6,576,983,951
201502,162,201,16,6,396,945,1327
201502,163,148,21,9,812,245,1268
201502,164,161,18,10,819,1145,1515
201502,165,134,18,14,447,960,1348
201502,166,119,28,7,731,262,1467
201502,167,97,18,6,572,738,1419
201502,168,98,18,9,390,1330,1822
201502,169,107,22,5,1093,275,1401
201502,170,75,16,7,422,542,1765
201502,171,74,19,12,574,1384,1556
201502,172,72,11,3,1067,564,1369
201502,173,60,14,5,186,1264,1211
201502,174,64,17,6,399,118,1219
201502,175,62,8,9,1133,608,1333
201502,176,69,13,6,437,1138,1300
201502,177,42,5,8,438,385,1191
201502,178,46,7,7,690,1223,1232
201502,179,62,16,6,947,351,1228
201502,180,45,13,5,483,1082,1139
201502,181,47,10,4,408,644,1132
201502,182,41,6,3,1155,785,668
201502,183,55,10,9,246,1045,513
201502,184,56,7,6,492,488,238
201502,185,42,7,4,710,1095,139
201502,186,50,9,4,788,644,107
201502,187,48,11,10,501,761,80
201502,188,53,10,8,629,922,59
201502,189,40,12,5,1028,505,45
201502,190,44,11,6,320,881,52
201502,191,35,6,6,267,1065,45
201502,192,50,4,6,1507,553,32
201502,193,39,8,3,318,943,32
201502,194,40,7,12,228,746,15
201502,195,31,9,2,1002,649,19
201502,196,30,6,4,869,1093,26
201502,197,33,13,5,181,512,12
201502,198,39,9,5,712,821,23
201502,199,44,6,8,1075,921,15
201502,200,31,12,7,203,519,19
201502,201,36,9,8,589,710,25
201502,202,29,9,5,1121,970,12
201502,203,25,13,8,172,905,20
201502,204,37,8,6,541,620,15
201502,205,33,21,7,1050,977,23
201502,206,30,11,2,516,657,14
201502,207,29,9,5,1051,958,18
201502,208,34,11,7,428,451,19
201502,209,28,17,3,475,982,15
201502,210,33,9,7,742,551,9
201502,211,16,9,8,680,1062,12
201502,212,29,14,8,582,533,6
201502,213,30,13,0,666,1022,11
201502,214,29,7,6,732,613,13
201502,215,29,5,2,609,1000,8
201502,216,19,17,5,771,843,9
201502,217,16,14,6,477,818,11
201502,218,29,7,8,739,862,8
201502,219,19,4,6,432,749,13
201502,220,18,7,4,327,801,8
201502,221,17,16,5,586,768,11
201502,222,23,6,3,695,821,8
201502,223,16,7,7,504,855,6
201502,224,20,15,5,752,925,17
201502,225,15,12,5,364,742,13
201502,226,15,7,8,321,744,7
201502,227,15,9,7,894,860,7
201502,228,10,8,4,161,926,13
201502,229,15,19,5,980,842,13
201502,230,18,13,9,421,874,11
201502,231,23,3,7,394,835,6
201502,232,9,13,7,839,892,7
201502,233,14,12,6,203,789,14
201502,234,16,18,5,898,628,14
201502,235,17,8,5,458,588,10
201502,236,10,12,8,990,536,9
201502,237,14,11,11,264,559,12
201502,238,14,17,8,356,510,11
201502,239,19,12,2,1055,457,12
201502,240,17,12,4,217,358,6
201502,241,14,10,7,784,267,14
201502,242,18,16,8,824,161,13
201502,243,28,15,12,235,170,16
201502,244,29,12,11,1035,166,12
201502,245,26,14,3,378,124,13
201502,246,38,19,15,674,87,10
201502,247,27,12,7,295,122,19
201502,248,36,12,12,587,90,21
201502,249,34,20,6,668,57,15
201502,250,36,15,27,538,79,32
201502,251,42,18,19,488,92,23
201502,252,50,27,13,641,75,19
201502,253,74,56,33,568,86,37
201502,254,106,87,10,725,179,34
201502,255,320,257,138,25897,600,426
