05-HE-stegosaurus
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
2624000,0,0,0,0,646,5977,53643
2624000,1,0,0,0,1955,8476,5179
2624000,2,0,0,0,5344,6511,4998
2624000,3,0,0,0,5655,4732,10677
2624000,4,0,0,0,10099,11395,7141
2624000,5,0,0,0,6215,4034,8584
2624000,6,0,0,0,4663,9054,9979
2624000,7,0,0,0,11979,3140,11841
2624000,8,0,0,0,6117,8115,5891
2624000,9,0,0,0,3293,12910,11329
2624000,10,0,0,0,7926,1147,6066
2624000,11,0,0,0,10751,10067,10396
2624000,12,0,0,0,9877,7611,6677
2624000,13,0,0,0,5054,13368,13418
2624000,14,0,0,0,11125,2766,7462
2624000,15,0,0,0,10624,13976,14763
2624000,16,0,0,0,7342,16808,12538
2624000,17,0,0,0,10627,3152,8119
2624000,18,0,0,0,8701,13764,15049
2624000,19,0,0,0,10381,14442,12321
2624000,20,0,0,0,10776,6170,18588
2624000,21,0,0,0,10722,12594,13476
2624000,22,0,0,0,11566,16549,14655
2624000,23,0,0,0,11996,14240,15639
2624000,24,0,0,0,10561,6347,12126
2624000,25,0,0,0,11361,15345,10949
2624000,26,0,0,0,14422,13693,22113
2624000,27,0,0,0,13870,14991,21265
2624000,28,0,0,0,9168,13779,10632
2624000,29,0,0,0,10199,4935,11223
2624000,30,0,0,0,19655,15822,9790
2624000,31,0,0,0,11325,12215,19765
2624000,32,0,0,0,14460,13996,15753
2624000,33,0,0,0,9977,15545,13640
2624000,34,0,0,0,10151,14801,19445
2624000,35,0,0,0,8253,7225,8862
2624000,36,0,0,0,19341,10343,15924
2624000,37,0,0,0,10768,13587,16017
2624000,38,0,0,0,18390,8192,14080
2624000,39,0,0,0,8879,18721,7649
2624000,40,0,0,0,7506,13517,16431
2624000,41,0,0,0,16502,16523,8825
2624000,42,0,0,0,10066,7299,19112
2624000,43,0,0,0,11650,11263,12514
2624000,44,0,0,0,13558,9056,16844
2624000,45,0,0,0,17029,10674,4571
2624000,46,0,0,0,7938,19938,16352
2624000,47,0,0,0,10434,12477,16252
2624000,48,0,0,0,12216,14759,14099
2624000,49,0,0,0,9718,8764,8991
2624000,50,0,0,0,6596,8887,18060
2624000,51,0,0,0,19692,12080,9388
2624000,52,0,0,0,16530,13432,17446
2624000,53,0,0,0,6435,13971,7437
2624000,54,0,0,0,6102,5575,17049
2624000,55,0,0,0,13126,12280,13166
2624000,56,0,0,0,15955,20017,11552
2624000,57,0,0,0,6870,5052,16202
2624000,58,0,0,0,13175,14024,14947
2624000,59,0,0,0,21217,13219,14416
2624000,60,0,0,0,5407,8971,14579
2624000,61,0,0,0,10322,15772,11790
2624000,62,0,0,0,12063,12699,14855
2624000,63,0,0,0,10069,6739,13685
2624000,64,0,0,0,8248,12658,13591
2624000,65,0,0,0,22337,12071,14517
2624000,66,0,0,0,6901,10901,15312
2624000,67,0,0,0,11977,13465,11957
2624000,68,0,0,0,10490,8699,14135
2624000,69,0,0,0,5808,14204,13408
2624000,70,0,0,0,18936,14628,14592
2624000,71,0,0,0,10301,5972,13662
2624000,72,0,0,0,11392,11982,11337
2624000,73,0,0,0,8354,15914,14751
2624000,74,0,0,0,12286,7151,12464
2624000,75,0,0,0,14055,11451,14121
2624000,76,0,0,0,5993,13351,13628
2624000,77,0,0,0,12001,8884,12261
2624000,78,0,0,0,11737,12573,12390
2624000,79,0,0,0,6106,14235,13008
2624000,80,0,0,2,9937,6961,11854
2624000,81,0,0,17,11704,12728,12294
2624000,82,0,0,314,7103,13763,10984
2624000,83,0,0,1141,9398,6747,12958
2624000,84,0,5,3406,10712,11211,13045
2624000,85,0,34,7975,10656,14929,9961
2624000,86,9,48,16458,8762,6230,11264
2624000,87,93,264,35665,12821,12051,9933
2624000,88,254,1164,58618,10068,13860,12635
2624000,89,856,4345,82139,8380,10549,11724
2624000,90,4146,8792,124003,13218,7553,12040
2624000,91,8335,11976,155903,10777,12570,9768
2624000,92,10143,14057,152568,9290,13115,11293
2624000,93,10788,17246,121183,13142,9396,9332
2624000,94,18815,27200,84756,8308,7456,12846
2624000,95,29876,31758,70356,12741,13573,11412
2624000,96,31788,31373,65949,8460,12736,11077
2624000,97,29101,34674,66491,13887,11701,10744
2624000,98,30553,46395,58254,7593,5739,11949
2624000,99,32933,61877,58256,13002,12006,11889
2624000,100,38025,80098,54600,6714,14187,9907
2624000,101,43876,88620,51654,13259,10966,11525
2624000,102,44167,87757,49181,9394,5872,10240
2624000,103,51788,86533,49986,12976,11639,11070
2624000,104,67376,69969,48767,8329,14064,10695
2624000,105,75624,56251,44374,11954,9936,12382
2624000,106,76431,43331,40364,8842,7162,8474
2624000,107,70995,35313,38176,12080,13068,12333
2624000,108,55024,31812,35497,8377,12535,11068
2624000,109,43943,34326,33103,12780,7709,10606
2624000,110,33130,33885,37750,8744,10372,9959
2624000,111,23998,33312,35843,11247,11844,11045
2624000,112,23189,40202,35948,9367,12748,10342
2624000,113,22433,41769,34429,12688,5375,8379
2624000,114,29558,46631,38011,9511,12142,10939
2624000,115,29698,42162,49990,10960,13971,10924
2624000,116,36919,40310,36243,9763,5620,10412
2624000,117,40196,38965,40416,12156,11422,9343
2624000,118,40355,37951,39281,9819,12320,10816
2624000,119,43374,33422,42002,9679,7745,11454
2624000,120,39583,32052,32421,12684,10267,9106
2624000,121,41532,38304,28621,9064,12531,11162
2624000,122,43325,35652,32326,11384,12326,9785
2624000,123,39606,26165,24643,10939,5315,11642
2624000,124,39711,37751,20365,8843,11345,10425
2624000,125,34689,36110,25606,11093,14347,8683
2624000,126,43199,42360,19207,8043,8084,10026
2624000,127,32591,36902,15713,14385,8876,10296
2624000,128,34739,39523,14819,7979,12341,8857
2624000,129,44367,48884,15694,12372,5645,9759
2624000,130,37037,38958,14213,9838,11157,10515
2624000,131,39952,36188,10589,11152,13428,11260
2624000,132,32628,32157,12443,12608,9897,9821
2624000,133,26802,18347,14326,8860,6468,9364
2624000,134,50648,44995,13311,9774,12825,10955
2624000,135,15345,11576,16517,8265,13535,10937
2624000,136,48727,31257,12310,10891,4388,12095
2624000,137,15290,12403,14278,11681,10141,10281
2624000,138,33832,21912,15865,8933,12786,9883
2624000,139,26575,16297,13419,12455,14060,10732
2624000,140,18445,12254,17031,7348,4534,12442
2624000,141,20591,14012,22282,10607,10084,11202
2624000,142,14488,8281,15706,10775,13307,12779
2624000,143,16173,8632,17122,11567,10592,13220
2624000,144,16515,14688,16863,8169,5304,12834
2624000,145,11895,8745,20229,12239,11534,11142
2624000,146,10934,17349,13314,7742,12261,11763
2624000,147,9223,19232,16715,10941,10652,14092
2624000,148,13393,23587,10262,8922,5236,13177
2624000,149,9176,20107,9261,11620,9788,14201
2624000,150,11944,28346,20221,8018,12229,12807
2624000,151,10958,17371,7972,11059,14589,12033
2624000,152,11120,26030,14826,10335,8932,15074
2624000,153,13610,26783,8628,7871,6120,17219
2624000,154,17174,37781,5884,11033,10916,13192
2624000,155,8678,24269,8883,6299,13218,15778
2624000,156,30416,28647,2944,10535,9239,13670
2624000,157,12684,13059,2963,12017,6194,14157
2624000,158,27537,21327,1148,6284,11590,15000
2624000,159,21250,19672,1505,9124,13244,14666
2624000,160,21324,10385,1216,12521,7112,15914
2624000,161,41379,22989,1577,7246,7178,14109
2624000,162,29260,16539,641,12793,13713,14886
2624000,163,38906,30987,1353,9191,10913,13576
2624000,164,19796,24413,850,7418,7569,15644
