06-HE-bird_of_paradise_flower
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
4021248,0,0,0,0,12,23160,154318
4021248,1,0,0,0,295,10607,13111
4021248,2,0,0,0,1148,14816,10825
4021248,3,0,0,0,1726,3886,13650
4021248,4,0,0,0,2135,14152,11737
4021248,5,0,0,0,2928,12671,14889
4021248,6,0,0,0,5062,13748,12201
4021248,7,0,0,0,2359,5388,14111
4021248,8,0,0,0,14180,10683,15859
4021248,9,0,0,0,5313,12629,10119
4021248,10,0,0,0,15042,14353,14292
4021248,11,0,0,0,10136,10519,10971
4021248,12,0,0,0,8533,8889,18566
4021248,13,0,0,0,11473,9430,19053
4021248,14,0,0,0,22466,18653,15780
4021248,15,0,0,0,2395,15766,16539
4021248,16,0,0,0,21296,14337,21669
4021248,17,0,0,0,11019,12979,19046
4021248,18,0,0,0,16461,19328,22131
4021248,19,0,0,0,22508,19809,24486
4021248,20,0,0,0,13428,17855,23061
4021248,21,0,0,0,22220,17472,25805
4021248,22,0,0,0,15931,19144,26141
4021248,23,0,0,0,24536,20316,23915
4021248,24,0,0,0,17139,19924,22708
4021248,25,0,0,0,24728,18590,23989
4021248,26,0,0,0,22167,23300,25032
4021248,27,0,0,0,27618,18146,26042
4021248,28,0,0,0,19711,17354,26997
4021248,29,0,0,0,22067,22892,28445
4021248,30,0,0,0,27463,19105,26006
4021248,31,0,0,0,18405,17652,24030
4021248,32,0,0,0,19497,22259,24494
4021248,33,0,0,0,21589,21229,23150
4021248,34,0,0,0,17943,17343,22720
4021248,35,0,0,0,19348,23385,21929
4021248,36,0,0,0,15238,16893,21517
4021248,37,0,0,0,13851,20905,20220
4021248,38,0,0,0,17835,21886,20163
4021248,39,0,0,0,20533,18101,16846
4021248,40,0,0,0,18044,20360,19616
4021248,41,0,0,0,18118,16529,20265
4021248,42,0,0,0,20499,18892,19304
4021248,43,0,0,0,25092,17600,14290
4021248,44,0,0,0,22762,16429,21213
4021248,45,0,0,0,16753,15486,16628
4021248,46,0,0,0,20033,17565,19703
4021248,47,0,0,0,24347,14938,18769
4021248,48,0,0,0,19940,17783,20644
4021248,49,0,0,0,24491,16817,22308
4021248,50,0,0,0,16295,15638,16923
4021248,51,0,0,0,22262,17346,19604
4021248,52,0,0,0,16619,16023,17744
4021248,53,0,0,0,24000,18102,19821
4021248,54,0,0,0,20142,16810,19613
4021248,55,0,0,0,23020,18469,14851
4021248,56,0,0,0,19114,16620,20421
4021248,57,0,0,0,20123,15020,19589
4021248,58,0,0,0,22845,17189,16570
