07-HE-Alhambra9
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
3145728,0,0,0,0,2936,16562,34317
3145728,1,0,0,0,1536,8543,5742
3145728,2,0,0,0,3334,9585,10605
3145728,3,0,0,0,4693,10159,7931
3145728,4,0,0,0,7971,2843,7326
3145728,5,0,0,0,7796,13233,9734
3145728,6,0,0,0,6660,4922,8179
3145728,7,0,0,0,5824,12414,8525
3145728,8,0,0,0,10470,5953,9053
3145728,9,0,0,0,3207,11824,7902
3145728,10,0,0,0,9665,7860,10210
3145728,11,0,0,0,8015,9534,9401
3145728,12,0,0,0,9223,11300,9853
3145728,13,0,0,0,7789,9882,10003
3145728,14,0,0,0,8770,10778,11260
3145728,15,0,0,0,11439,14285,12544
3145728,16,0,0,0,8935,9532,11002
3145728,17,0,0,0,10740,13059,14173
3145728,18,0,0,0,11530,16315,14719
3145728,19,0,0,0,11641,10771,11009
3145728,20,0,0,0,15370,14765,15333
3145728,21,0,0,0,14088,16645,16586
3145728,22,0,0,0,14379,14726,15990
3145728,23,0,0,0,13151,15758,16475
3145728,24,0,0,0,15218,16871,16965
3145728,25,0,0,0,17181,16116,16635
3145728,26,0,0,0,19134,13869,16865
3145728,27,0,0,0,14525,17075,16928
3145728,28,0,0,0,16013,17311,15881
3145728,29,0,0,0,14523,14432,17085
3145728,30,0,0,0,14628,15899,16770
3145728,31,0,0,0,13257,14861,14819
3145728,32,0,0,0,17573,17982,17183
3145728,33,0,0,0,15285,14220,15125
3145728,34,0,0,0,15047,15271,17687
3145728,35,0,0,0,12006,14826,14828
3145728,36,0,0,0,17185,15472,15566
3145728,37,0,0,0,13392,14768,16053
3145728,38,0,0,0,13549,14550,15930
3145728,39,0,0,0,15372,15316,16470
3145728,40,0,0,0,15997,16200,14673
3145728,41,0,0,0,11904,13837,15371
3145728,42,0,0,0,15606,15106,15255
3145728,43,0,0,0,15579,14224,15979
3145728,44,0,0,0,13691,15395,15468
3145728,45,0,0,0,13136,15877,14722
3145728,46,0,0,0,15473,14412,13915
3145728,47,0,0,0,12743,13006,16872
3145728,48,0,0,0,15611,14237,14532
3145728,49,0,0,0,14862,16045,14314
3145728,50,0,0,0,12836,13775,15067
3145728,51,0,0,0,13843,14211,15414
3145728,52,0,0,0,14677,14401,13706
3145728,53,0,0,0,12720,14791,15539
3145728,54,0,0,0,15220,15324,13713
3145728,55,0,0,0,15689,13633,15176
3145728,56,0,0,0,12430,12883,15774
3145728,57,0,0,0,14289,14776,12765
3145728,58,0,0,0,13775,14275,15311
3145728,59,0,0,0,12252,13971,13992
3145728,60,0,0,0,14787,13459,13810
3145728,61,0,0,0,14554,14974,14907
3145728,62,0,0,0,11908,13283,13527
3145728,63,0,0,0,14679,14078,13993
3145728,64,0,0,0,14128,14344,15051
3145728,65,0,0,0,13676,13312,13045
3145728,66,0,0,0,13464,15033,14153
3145728,67,0,0,0,13077,13230,14900
3145728,68,0,0,0,15381,13546,14679
3145728,69,0,0,0,12506,14248,12577
3145728,70,0,0,0,13141,13373,14082
3145728,71,0,0,0,13539,14226,13834
3145728,72,0,0,0,13859,13736,13083
3145728,73,0,0,0,12927,13110,14085
3145728,74,0,0,0,14289,13995,14512
3145728,75,0,0,0,13380,13897,11724
3145728,76,0,2,60,12589,13188,14381
3145728,77,0,18,124,13829,12530,14268
3145728,78,3,77,360,13204,13527,12905
3145728,79,5,79,220,13300,13539,13589
3145728,80,36,187,761,12288,13358,13352
3145728,81,121,299,1099,14483,13806,13984
3145728,82,336,635,1679,12212,12523,12177
3145728,83,433,1094,2664,13891,13521,14316
3145728,84,544,2150,3841,12333,12983,12734
3145728,85,979,3049,5185,13324,14343,13019
3145728,86,1822,4680,7191,13257,12849,12281
3145728,87,2655,5649,8602,13223,13099,13120
3145728,88,4256,8309,11650,13171,13538,13527
