Alhambra9
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
3145728,0,0,0,0,6327,31468,106771
3145728,1,0,0,0,914,7481,6001
3145728,2,0,0,0,1167,8056,6440
3145728,3,0,0,0,1316,8623,6204
3145728,4,0,0,0,1679,9094,6281
3145728,5,0,0,2,2154,9315,6438
3145728,6,0,0,0,2701,9776,6147
3145728,7,0,0,34,3334,9900,6273
3145728,8,0,0,12,3673,9898,6635
3145728,9,0,0,0,3526,9437,7124
3145728,10,0,0,10,3767,9005,7074
3145728,11,0,0,12,4310,9599,5961
3145728,12,0,0,10,5915,10421,8876
3145728,13,0,0,21,7610,10739,9740
3145728,14,0,0,27,7802,11253,11344
3145728,15,0,0,27,8743,13251,11636
3145728,16,0,0,51,8881,11832,11745
3145728,17,0,0,51,8201,11735,13937
3145728,18,0,0,106,7684,16119,13604
3145728,19,0,8,57,8053,13237,14001
3145728,20,0,86,11,8818,13522,16867
3145728,21,0,0,9,9448,17762,16879
3145728,22,0,0,7,10425,16108,17468
3145728,23,0,1,14,11327,13558,19265
3145728,24,0,0,12,12485,13616,18177
3145728,25,0,0,35,14649,16304,19947
3145728,26,0,0,33,14684,17984,17120
3145728,27,0,3,59,15335,17574,17621
3145728,28,0,0,112,18262,15225,16534
3145728,29,0,95,252,16644,13794,17057
3145728,30,0,7,115,17662,17571,17338
3145728,31,0,0,33,17803,13780,16794
3145728,32,0,4,60,17783,14203,16445
3145728,33,0,1,70,16900,18623,15590
3145728,34,0,2,55,15133,14021,16447
3145728,35,0,9,228,15756,13228,16386
3145728,36,0,170,388,15527,15486,13394
3145728,37,0,2,158,16264,15465,16238
3145728,38,0,1,95,15569,13118,15686
3145728,39,29,4,83,15626,15474,12710
3145728,40,43,4,130,14496,16224,15262
3145728,41,45,304,311,15158,14839,16719
3145728,42,69,17,684,14944,11962,11917
3145728,43,60,32,125,14518,15536,15033
3145728,44,72,9,141,14366,14387,16572
3145728,45,80,178,138,15040,14781,11921
3145728,46,89,398,640,14563,15336,15251
3145728,47,64,9,748,14751,13915,16374
3145728,48,73,47,228,14462,14150,10791
3145728,49,85,107,218,15000,14602,16583
3145728,50,94,692,286,14430,13874,15132
3145728,51,60,55,1434,14714,14200,10260
3145728,52,94,27,189,14010,14072,18584
3145728,53,115,988,237,15109,13262,11020
3145728,54,113,92,735,14596,13729,13665
3145728,55,81,43,1384,14551,15552,17792
3145728,56,268,1142,306,14212,15023,8493
3145728,57,157,130,463,14908,13241,16716
3145728,58,97,65,1842,14687,12763,14427
3145728,59,294,1342,400,14688,13248,10235
3145728,60,264,171,565,14075,15248,18885
3145728,61,200,153,1830,14335,13107,7881
3145728,62,419,1663,603,14626,13343,17194
3145728,63,375,171,1270,13479,14305,13669
3145728,64,312,819,1350,14996,15038,10224
3145728,65,599,1087,813,13861,13468,17390
3145728,66,453,113,1357,14413,13312,8092
3145728,67,348,1830,1611,13899,13285,17520
3145728,68,942,240,1113,14131,13172,12789
3145728,69,468,1813,1960,14410,14058,10988
3145728,70,672,317,1064,13864,13280,16420
3145728,71,772,1694,1956,14277,13671,9122
3145728,72,565,508,1630,14130,13241,16687
3145728,73,1322,1929,1741,13617,12728,9036
3145728,74,661,494,1771,13920,14991,13723
3145728,75,1456,1986,1899,13622,13404,14117
3145728,76,605,500,1975,13286,13672,9172
3145728,77,1397,2170,2087,14583,13161,17181
3145728,78,1013,720,2144,13382,11787,8285
3145728,79,1530,2084,1981,13970,11912,18362
3145728,80,966,1479,1918,13825,14418,8127
3145728,81,1752,1378,2064,13731,14400,17930
3145728,82,1304,2261,2154,13914,13128,7194
3145728,83,1631,1418,2162,13997,13081,17135
3145728,84,1329,2006,2538,13475,10812,8263
3145728,85,1605,2219,2118,14447,13271,15316
3145728,86,1841,2290,2704,13751,12897,9658
3145728,87,1797,1646,2323,13269,14862,14726
3145728,88,2004,2381,2542,14906,13363,9558
3145728,89,1645,2197,2349,13174,13049,14898
3145728,90,2056,2644,2810,14447,11111,8999
3145728,91,2076,2649,2773,13777,13172,15195
3145728,92,2120,2482,2801,13307,12646,9013
3145728,93,2158,2547,2871,14365,13522,16351
3145728,94,2228,2675,3008,13918,12501,7998
3145728,95,2140,2824,2995,12849,13148,16750
3145728,96,2176,2865,3027,14549,13093,7518
