Image00001
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
2304000,0,1919,6278,26180,2568,30405,178348
2304000,1,758,2698,8157,1113,7459,11105
2304000,2,543,2580,8776,793,6793,10634
2304000,3,581,2645,9113,874,6705,9898
2304000,4,699,2848,9230,1084,6878,11402
2304000,5,586,2984,9367,1562,6592,10516
2304000,6,779,2987,9629,1265,6504,11180
2304000,7,739,3092,9681,1821,6963,10781
2304000,8,823,3052,9904,2007,6693,8601
2304000,9,908,3167,10148,2253,6481,11251
2304000,10,997,3114,10149,2528,6809,10502
2304000,11,1093,3212,10720,2597,7211,9420
2304000,12,1261,3379,11029,2927,7586,12744
2304000,13,1385,3446,11492,3142,8102,10394
2304000,14,1562,3485,11938,3337,8483,12286
2304000,15,1698,3633,12617,3513,8967,12248
2304000,16,1875,3927,13475,3797,9446,13909
2304000,17,2122,4269,14526,4430,9884,14330
2304000,18,2244,4610,15521,4742,10196,13346
2304000,19,2432,4949,16464,5638,11951,15149
2304000,20,2778,5189,17330,6135,12909,13339
2304000,21,2813,5696,18112,6745,12229,14656
2304000,22,3127,6278,19172,7389,11409,14926
2304000,23,3448,6440,20541,7683,11308,13826
2304000,24,3634,6998,20860,8054,11294,14733
2304000,25,3996,7116,21534,8908,10606,13065
2304000,26,4336,7373,21830,9073,10861,14183
2304000,27,4545,7709,22135,10102,10778,13531
2304000,28,4718,8278,22554,10052,11747,13736
2304000,29,4960,8464,22478,10776,11650,15045
2304000,30,5175,8696,22623,10370,10925,11883
2304000,31,5225,9015,22647,10125,10654,15270
2304000,32,5473,9298,22733,10468,11993,12779
2304000,33,5685,9954,22594,11064,11786,13649
2304000,34,5841,10362,22755,10720,10809,13821
2304000,35,6298,10927,21989,11590,9984,11606
2304000,36,6304,11413,22133,10646,11908,16095
2304000,37,6602,11947,21694,11104,11320,9999
2304000,38,6728,12194,21884,10566,10162,15163
2304000,39,6641,12474,21252,10900,10981,12199
2304000,40,6845,12724,21846,10953,11790,11578
2304000,41,6876,12975,21452,11522,9852,14341
2304000,42,7005,13363,21140,10630,11866,10756
2304000,43,7154,14114,21274,10096,10435,13659
2304000,44,7504,14313,20978,10890,10147,11223
2304000,45,7807,14761,20352,10991,12080,12320
2304000,46,8130,14825,20060,10786,9131,12087
2304000,47,8439,15107,19592,9906,11245,11080
2304000,48,8539,15671,19463,9905,11438,13025
2304000,49,8917,16071,18872,11042,9693,10960
2304000,50,9085,16543,19307,9997,11903,12602
2304000,51,9358,17179,19078,9600,9105,10880
2304000,52,9875,17518,18846,10562,12169,11547
2304000,53,10453,17680,18837,10452,9755,12114
2304000,54,11264,18345,18761,9554,11757,10870
2304000,55,11791,19297,18885,9297,9158,12373
2304000,56,12371,19461,18481,11021,11132,10701
2304000,57,12871,19908,18439,9547,10300,11685
2304000,58,12765,19605,18189,9661,10825,11136
2304000,59,13275,19741,18045,9946,11343,10873
2304000,60,13312,19551,17787,9756,9061,11729
2304000,61,13399,18927,17646,10184,11264,10662
2304000,62,13623,18955,17400,9656,9538,11544
2304000,63,13954,18768,17217,9977,11377,10959
2304000,64,14127,18595,16908,10675,9224,10391
2304000,65,14377,18336,16651,9540,10635,11470
2304000,66,14467,18161,16508,10883,10493,10403
2304000,67,14887,18259,16125,10204,10232,10578
2304000,68,15401,17960,15745,9830,10044,11532
2304000,69,15845,17417,15846,9882,10027,10256
2304000,70,16147,17464,15411,9781,10594,10539
2304000,71,17040,17365,15270,10266,8991,10820
2304000,72,17856,17161,14771,9261,10449,10332
2304000,73,18103,16854,14455,9433,10015,10860
2304000,74,17996,16428,13774,9658,9781,10572
2304000,75,18167,16419,13531,10291,10121,10075
2304000,76,17885,16140,13304,9243,9889,10585
2304000,77,17411,15517,13001,9388,10278,10212
2304000,78,17206,15343,12850,9196,9544,10315
2304000,79,16855,15007,12538,9236,10647,10766
2304000,80,16503,14857,12413,9203,9577,9410
2304000,81,15754,14648,12134,9478,9637,10907
2304000,82,15642,14493,12080,8602,10092,9933
2304000,83,15139,14593,11788,9262,9386,10192
2304000,84,15125,14616,12285,8895,10553,11007
2304000,85,14779,14439,11730,9489,9209,9828
2304000,86,14425,14431,11638,8618,9611,10515
2304000,87,14231,14584,11614,8592,9977,10508
2304000,88,14260,14528,11435,8857,9054,9601
2304000,89,13997,14533,11381,8781,10154,10748
2304000,90,14078,14648,11411,8862,8835,9826
2304000,91,13941,14847,11490,8576,9499,9941
2304000,92,13827,14989,11352,9287,9895,10389
2304000,93,14208,14776,11067,8491,9372,9519
2304000,94,13864,14780,11139,8589,9583,10244
2304000,95,13700,14702,11211,8794,9805,9266
2304000,96,13761,14784,10758,8662,9375,9953
2304000,97,13820,14555,10650,9051,10141,10052
2304000,98,13618,14798,10650,8320,9700,8902
2304000,99,13819,14711,10559,8789,9193,9142
2304000,100,13688,14732,10016,8545,9903,9907
2304000,101,13383,14994,10273,9063,9228,8812
2304000,102,13459,14930,9962,9144,9408,8346
2304000,103,13492,14831,9936,8628,10036,9431
2304000,104,13371,14745,9907,8990,9015,8718
2304000,105,13300,14619,9467,9216,9648,8395
2304000,106,13294,14344,9361,8580,9758,8319
2304000,107,13039,14100,9096,8769,8768,8719
2304000,108,12890,13870,9192,9174,9738,7895
2304000,109,12878,13684,8860,8483,9555,8517
2304000,110,12535,13294,8293,8704,8943,8032
2304000,111,12648,13212,8214,8955,9111,7983
2304000,112,12403,12706,8402,8565,9010,8229
2304000,113,12449,12837,8197,8778,9285,8392
2304000,114,12512,12416,7917,9098,9086,6988
2304000,115,12319,12196,7814,8210,8871,8759
2304000,116,12706,12221,7673,8892,9025,7674
2304000,117,12707,11971,7570,8484,9002,8071
2304000,118,12633,11771,7798,8891,9153,8673
2304000,119,12597,11597,7756,8060,9075,7887
2304000,120,12801,11274,7546,8983,8530,7877
2304000,121,13016,11116,7431,6982,9119,7618
2304000,122,12908,10959,7261,9082,8765,8402
2304000,123,12930,10841,7059,7992,9224,8209
2304000,124,13039,10884,7030,7813,9001,7947
2304000,125,13226,10576,6649,8623,8910,8413
2304000,126,13217,10593,6635,7395,9312,7967
2304000,127,13177,10520,6657,8350,8548,7748
2304000,128,13255,10361,6531,8086,9262,8452
2304000,129,13393,10300,6500,7463,9079,7729
2304000,130,13627,10139,6254,8442,8483,8442
2304000,131,13176,10045,6143,8132,9489,8135
