stegosaurus
h*w,,oldRed,oldGreen,oldBlue,newRed,newGreen,newBlue
resolution,value,count,count,count,count,count,count
2624000,0,0,0,0,16,20625,276310
2624000,1,0,0,0,39,6808,10417
2624000,2,0,0,0,54,7107,10516
2624000,3,0,0,0,182,6956,10468
2624000,4,0,0,0,497,5516,10988
2624000,5,0,0,0,1190,4931,11315
2624000,6,0,0,0,2863,6349,11222
2624000,7,0,0,0,4838,6115,10352
2624000,8,0,0,0,5837,7682,10669
2624000,9,0,0,0,7075,6996,10799
2624000,10,0,0,0,8310,6763,11203
2624000,11,0,0,0,9865,8068,10922
2624000,12,0,0,0,9909,8848,12374
2624000,13,0,0,0,10561,8151,14539
2624000,14,0,0,0,11036,9015,12674
2624000,15,0,0,0,13032,9347,15757
2624000,16,0,0,0,12838,8790,15074
2624000,17,0,0,0,12219,9852,15233
2624000,18,0,0,0,11487,9303,16392
2624000,19,0,0,0,10029,7730,15268
2624000,20,0,0,0,8410,10741,16754
2624000,21,0,0,0,8672,10645,16018
2624000,22,0,0,0,10086,16022,17440
2624000,23,0,0,0,8604,10303,17479
2624000,24,0,0,0,8312,10890,16857
2624000,25,0,0,0,8812,13437,15934
2624000,26,0,0,0,9665,13437,16381
2624000,27,0,0,0,10313,13022,15516
2624000,28,0,0,0,10856,15735,15243
2624000,29,0,0,0,11234,13014,13192
2624000,30,0,0,0,12384,13259,14508
2624000,31,0,0,0,14379,11931,12553
2624000,32,0,0,0,11592,13628,14551
2624000,33,0,0,1,11444,12890,12376
2624000,34,0,0,1,11894,13722,8346
2624000,35,0,0,0,12258,12370,11483
2624000,36,0,0,0,11263,9486,10196
2624000,37,0,0,0,11987,15383,8027
2624000,38,0,0,0,11644,10503,10484
2624000,39,0,0,0,12667,9993,10452
2624000,40,0,0,0,12976,15489,10586
2624000,41,0,0,3,13844,9949,8582
2624000,42,0,0,3,12849,14792,10127
2624000,43,0,0,4,13275,8214,11763
2624000,44,0,0,2,13152,16756,12425
2624000,45,0,0,1,13243,8570,12412
2624000,46,0,0,4,12949,14187,13470
2624000,47,0,0,3,14264,15252,11678
2624000,48,0,0,8,12413,7852,10935
2624000,49,0,0,13,12284,14547,10639
2624000,50,0,0,21,12660,9306,11610
2624000,51,0,0,42,12617,16378,9991
2624000,52,0,0,47,13845,5918,10348
2624000,53,0,0,66,13081,15692,12175
2624000,54,0,0,123,14545,10959,11210
2624000,55,0,0,181,12427,11821,10943
2624000,56,0,0,254,10816,12284,11442
2624000,57,0,0,408,12398,11083,10886
2624000,58,0,2,408,10665,13647,10837
2624000,59,0,3,436,11508,10587,10853
2624000,60,0,2,634,12421,9777,11542
2624000,61,1,5,756,12015,16356,11055
2624000,62,5,3,969,11124,7016,11503
2624000,63,1,2,1304,10558,12518,11185
2624000,64,1,6,1485,13203,14672,11473
2624000,65,1,11,2568,11520,9203,11552
2624000,66,3,26,2122,12023,9943,11932
2624000,67,12,51,3035,11117,11532,10612
2624000,68,21,86,3297,13615,15173,11334
2624000,69,15,106,3426,11750,9690,10688
2624000,70,33,119,3101,11751,12229,11105
2624000,71,69,168,3578,11868,8661,9750
2624000,72,87,234,3187,13043,15290,9336
2624000,73,81,368,2542,10494,12828,9473
2624000,74,110,684,3206,10155,8693,8890
2624000,75,120,954,3651,10127,8402,8910
2624000,76,307,1423,3869,10873,11847,8671
2624000,77,361,1526,4502,9511,12729,8738
2624000,78,699,1569,4586,8414,11677,8481
2624000,79,989,1757,5613,10100,10320,8764
2624000,80,1201,1517,5653,10872,12157,8557
2624000,81,1376,2114,6973,10225,10524,8558
2624000,82,1385,1722,7110,9320,9430,8682
2624000,83,1565,2374,8768,8900,9440,8379
2624000,84,1737,2310,8594,9338,14370,8666
2624000,85,1801,2416,8030,9627,11585,9037
2624000,86,1822,2307,7834,10059,10207,9121
2624000,87,1902,2329,8228,10134,11390,9491
2624000,88,1848,2390,8691,10694,9866,8769
2624000,89,1848,1990,8972,10715,11979,9132
2624000,90,2318,2170,9799,10563,10920,9167
2624000,91,1796,1701,10369,10843,10477,9530
2624000,92,1680,1827,14093,10611,11672,9337
2624000,93,1963,2309,12965,10839,10844,9080
2624000,94,1479,2289,20529,11125,10351,9619
2624000,95,2116,3559,21471,11528,11687,9553
2624000,96,2558,4085,18581,11242,9774,9433
2624000,97,3080,4860,20111,11463,12505,9621
2624000,98,3766,5974,24180,10828,8964,9714
2624000,99,4477,10280,35114,11244,12622,9445
2624000,100,5353,7155,25786,11275,8665,9205
2624000,101,5602,6962,25560,11086,12801,8959
2624000,102,7048,7343,39031,11028,8310,9123
2624000,103,5903,5457,24625,10665,12247,9243
2624000,104,7158,5798,23868,10900,8553,9050
2624000,105,5653,4655,38330,10837,14222,9052
2624000,106,6167,4744,21140,11727,8333,9353
2624000,107,5629,4600,34529,11183,12942,9004
2624000,108,5298,4160,18164,10873,7308,8914
2624000,109,5473,4333,25979,11612,14030,9132
2624000,110,4605,4049,15446,10161,8433,8735
2624000,111,4485,3999,21881,11093,12557,9008
2624000,112,4311,4291,18746,10841,6836,8610
2624000,113,4218,4497,12069,11350,13269,8390
2624000,114,5437,5961,14614,10643,8755,8555
2624000,115,4120,4912,15630,11117,11300,8290
2624000,116,5680,6725,10810,11084,10982,8396
2624000,117,4368,5135,14764,10765,9430,8331
2624000,118,6044,7101,13661,10829,12493,9126
2624000,119,4733,5440,12696,10926,7698,7946
2624000,120,6390,7610,14838,10502,13511,8799
2624000,121,6769,8493,10261,10530,6480,8755
2624000,122,6733,9365,15424,10251,13620,9247
2624000,123,6637,10300,14580,10731,9344,8267
2624000,124,6872,10438,16647,10557,9629,7965
2624000,125,7371,11976,15390,10509,10725,8303
2624000,126,7417,12617,16473,10963,8593,9088
2624000,127,7918,12865,16712,9937,13956,8846
2624000,128,10223,18441,16195,11126,6160,8759
2624000,129,8252,14801,13493,10985,13350,8106
2624000,130,10601,19466,15662,11218,6914,8457
2624000,131,9035,21642,16318,11067,13215,10304
2624000,132,11930,21029,13498,10600,8311,9923
2624000,133,11709,17903,24283,11336,9936,9578
2624000,134,8668,21790,13305,10369,11697,9406
2624000,135,10331,17465,14501,11021,8150,9834
2624000,136,10931,24426,15368,11662,13142,9726
2624000,137,13337,20531,20478,11101,6134,9141
2624000,138,12712,29117,14467,10615,11869,10820
2624000,139,14018,32753,14624,9940,13002,9787
2624000,140,14194,22061,19154,9962,6742,11575
2624000,141,19570,27722,14482,10919,12738,8875
2624000,142,20015,30161,22301,10401,10275,9696
2624000,143,22457,24265,10349,8906,7785,10002
2624000,144,21968,24965,14074,10087,13044,9829
2624000,145,24231,19912,20680,11144,10247,9204
2624000,146,24165,19665,20629,8482,6735,10224
2624000,147,24790,16071,13229,9769,13627,11552
2624000,148,26257,15359,16446,11305,8207,11198
2624000,149,32655,17709,14019,8724,8715,9292
2624000,150,25144,11694,19246,9948,12506,10677
2624000,151,29928,15209,20275,11841,9257,9656
2624000,152,21350,9739,19821,9049,7578,11591
2624000,153,24819,12227,12107,9987,13457,11946
2624000,154,16666,8638,19395,11164,9654,12676
2624000,155,19843,10160,18640,9238,6671,12258
2624000,156,17441,9213,19310,9982,12714,10629
2624000,157,14988,8819,14045,11083,8614,12827
2624000,158,13392,8665,18729,8276,7956,11401
2624000,159,11589,8402,19713,11438,11024,12805
2624000,160,10543,8073,17433,10974,13253,12825
2624000,161,11734,9538,16014,8874,7235,14238
2624000,162,8415,9494,22247,10757,8604,14104
2624000,163,9877,11409,14654,8299,12728,14605
2624000,164,7909,10959,14430,12359,6048,12210
2624000,165,10160,12798,14718,8265,10313,12055
2624000,166,9736,15431,17371,10230,12350,12060
2624000,167,8915,11221,18535,12425,9310,11428
2624000,168,9249,18066,16663,8165,7886,11348
2624000,169,8965,18925,17760,10127,11128,10934
2624000,170,8375,13429,16874,10091,11609,11296
2624000,171,10020,22404,14620,8369,7258,9859
2624000,172,10809,21474,18023,11565,12302,8219
2624000,173,11795,23371,19424,8990,7032,8570
2624000,174,12673,22261,17325,10117,11704,7820
2624000,175,13993,22978,15693,11503,8553,7223
2624000,176,15145,21359,17217,10106,10304,7313
2624000,177,16698,21177,21705,9653,7107,7657
2624000,178,17978,19961,22832,8500,13155,7205
2624000,179,25525,26110,19754,9765,5067,5518
2624000,180,20099,19247,24104,8520,13594,6556
2624000,181,27250,25082,20706,7907,12262,7291
2624000,182,20434,18123,26772,9267,4865,5621
2624000,183,26467,23673,29150,9590,7157,6544
2624000,184,25449,23144,29010,7769,11655,6387
2624000,185,25027,22753,27716,7593,9545,7624
